DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/18/2016,3:10,QUEENS,11368,40.750874,-73.85828,"(40.750874, -73.85828)",,,108-73    ROOSEVELT AVENUE              ,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3463923,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:10,BRONX,10466,40.897068,-73.843376,"(40.897068, -73.843376)",PITMAN AVENUE                   ,WILDER AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3464268,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:06,,,40.848988,-73.92382,"(40.848988, -73.92382)",MAJOR DEEGAN EXPRESSWAY RAMP    ,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3463645,PASSENGER VEHICLE,,,,
06/18/2016,3:06,BRONX,10468,40.868282,-73.90107,"(40.868282, -73.90107)",UNIVERSITY AVENUE               ,WEST KINGSBRIDGE ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3476219,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,3:00,,,40.89417,-73.856964,"(40.89417, -73.856964)",WHITE PLAINS ROAD               ,,,1,0,1,0,0,0,0,0,Unsafe Speed,,,,,3464271,PASSENGER VEHICLE,,,,
06/18/2016,2:55,MANHATTAN,10037,40.810856,-73.939026,"(40.810856, -73.939026)",WEST 132 STREET                 ,5 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3464115,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:50,MANHATTAN,10013,40.718834,-74.00112,"(40.718834, -74.00112)",,,268       CANAL STREET                  ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3468498,PASSENGER VEHICLE,,,,
06/18/2016,2:45,MANHATTAN,10013,40.72368,-74.00365,"(40.72368, -74.00365)",BROOME STREET                   ,THOMPSON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3463515,PASSENGER VEHICLE,OTHER,,,
06/18/2016,2:44,BROOKLYN,11220,40.649364,-74.01292,"(40.649364, -74.01292)",3 AVENUE                        ,47 STREET,,6,0,0,0,0,0,6,0,Traffic Control Disregarded,Unspecified,,,,3463232,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:40,,,,,,WEST SHORE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Fell Asleep,,,,,3463490,PASSENGER VEHICLE,,,,
06/18/2016,2:40,,,,,,CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,3467026,MOTORCYCLE,,,,
06/18/2016,2:30,BRONX,10463,40.87357,-73.90541,"(40.87357, -73.90541)",,,2810      BAILEY AVENUE                 ,1,0,0,0,0,0,1,0,Other Vehicular,Alcohol Involvement,,,,3465825,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:30,MANHATTAN,10033,40.849125,-73.93688,"(40.849125, -73.93688)",,,4225      BROADWAY                      ,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inexperience,,,,3464152,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:30,BROOKLYN,11204,40.614273,-73.98101,"(40.614273, -73.98101)",,,6420      BAY PARKWAY                   ,0,0,0,0,0,0,0,0,Backing Unsafely,Driver Inexperience,,,,3463680,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:28,MANHATTAN,10023,40.777092,-73.98211,"(40.777092, -73.98211)",BROADWAY                        ,WEST 70 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3463607,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:27,,,40.771477,-73.91824,"(40.771477, -73.91824)",,,29 STREET                               ,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3463915,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:21,,,40.708035,-74.00002,"(40.708035, -74.00002)",FDR DRIVE RAMP                  ,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3466406,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/18/2016,2:15,MANHATTAN,10016,40.746414,-73.98184,"(40.746414, -73.98184)",EAST 33 STREET                  ,PARK AVENUE,,0,0,0,0,0,0,0,0,Illnes,,,,,3465571,PASSENGER VEHICLE,VAN,,,
06/18/2016,2:13,MANHATTAN,10011,40.732925,-74.00007,"(40.732925, -74.00007)",AVENUE OF THE AMERICAS          ,WAVERLY PLACE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3463527,OTHER,PASSENGER VEHICLE,,,
06/18/2016,2:10,QUEENS,11432,,,,,,158-000   GRAND CENTRAL PARKWAY         ,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Traffic Control Disregarded,,,,3466207,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
06/18/2016,2:10,MANHATTAN,10002,40.72255,-73.98973,"(40.72255, -73.98973)",,,237       ELDRIDGE STREET               ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3468500,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
